STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,state,fips,series_name
72228013876,2016-01-01,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",39.5,32.3,1026.5,3.3,9.3,8.2,12.0,999.9,46.9,35.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-02,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",38.2,28.6,1027.5,4.1,10.0,3.3,7.0,999.9,46.0,33.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-03,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",39.0,30.6,1022.2,998.9,10.0,1.5,6.0,999.9,50.0,30.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-04,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",37.9,27.7,1023.3,0.2,10.0,8.8,18.1,22.9,45.0,32.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-05,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",35.8,16.8,1030.9,7.5,10.0,6.2,11.1,17.1,46.9,30.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-06,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",40.1,19.7,1029.1,5.6,10.0,6.0,9.9,999.9,53.1,32.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-07,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",45.5,31.2,1020.8,997.8,9.9,5.1,8.0,999.9,55.0,37.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-08,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",54.8,49.5,1015.0,992.2,9.5,4.9,9.9,999.9,62.1,51.1,0.01,999.9,010000,AL,01,Alabama
72228013876,2016-01-09,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",54.2,50.8,1011.5,989.1,9.7,5.6,15.0,22.9,57.0,51.1,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-01-10,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",41.4,36.7,1015.7,991.8,9.4,10.0,18.1,24.1,55.9,35.1,0.51,999.9,010000,AL,01,Alabama
72228013876,2016-01-11,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",30.6,17.1,1025.0,1.5,10.0,3.4,8.0,999.9,45.0,19.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-12,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",37.7,23.4,1023.1,999.8,10.0,5.0,14.0,17.1,54.0,27.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-13,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",40.7,28.2,1024.4,1.2,10.0,2.7,8.0,999.9,53.1,28.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-14,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",44.4,31.2,1020.5,997.4,10.0,2.5,8.0,999.9,62.1,33.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-15,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",49.1,40.2,1009.5,985.6,6.8,3.6,8.9,999.9,54.0,44.1,0.22,999.9,010000,AL,01,Alabama
72228013876,2016-01-16,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",49.3,43.3,1010.6,987.5,8.9,4.8,8.9,999.9,55.0,36.0,0.12,999.9,000000,AL,01,Alabama
72228013876,2016-01-17,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",40.8,29.3,1015.7,992.8,9.5,9.2,13.0,15.9,48.0,34.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-18,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",32.8,18.5,1025.5,2.2,10.0,6.2,11.1,999.9,42.1,28.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-19,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",27.6,10.9,1031.4,7.7,10.0,4.2,9.9,999.9,37.9,19.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-20,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",40.0,24.9,1025.4,1.7,9.4,3.9,8.9,17.1,46.9,32.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-01-21,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",44.7,41.4,1020.2,997.1,7.1,5.0,11.1,21.0,51.1,41.0,0.05,999.9,010000,AL,01,Alabama
72228013876,2016-01-22,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",45.3,43.7,1007.6,983.8,5.4,11.4,19.0,25.1,53.1,32.0,1.16,999.9,011010,AL,01,Alabama
72228013876,2016-01-23,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",31.1,22.0,1017.0,993.9,10.0,14.2,21.0,35.0,37.0,28.9,0.34,999.9,000000,AL,01,Alabama
72228013876,2016-01-24,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",32.2,19.3,1023.3,999.8,9.8,1.6,6.0,999.9,50.0,19.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-25,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",43.9,31.8,1022.0,998.9,10.0,4.4,13.0,18.1,62.1,30.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-26,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",54.4,48.6,1020.6,997.7,8.0,5.2,13.0,19.0,57.9,52.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-01-27,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",42.8,38.0,1021.6,998.6,7.3,8.6,17.1,24.1,54.0,36.0,0.87,999.9,010000,AL,01,Alabama
72228013876,2016-01-28,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",41.2,28.7,1017.7,994.5,9.8,3.4,9.9,999.9,57.0,30.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-29,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",45.8,31.9,1015.9,993.1,10.0,3.8,8.9,999.9,59.0,35.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-30,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",50.4,35.6,1017.8,995.0,10.0,5.1,17.1,22.9,68.0,36.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-01-31,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.2,50.2,1016.2,993.7,10.0,9.2,15.9,22.9,72.0,53.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-01,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",65.8,58.4,1013.8,991.8,9.7,7.8,13.0,17.1,73.9,62.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-02,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",66.7,60.1,1013.5,991.1,8.8,8.4,15.9,27.0,77.0,59.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-02-03,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.0,53.2,1013.1,990.6,8.3,8.9,26.0,35.0,69.1,53.1,3.01,999.9,010010,AL,01,Alabama
72228013876,2016-02-04,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",43.7,28.6,1022.5,999.5,10.0,9.2,15.9,21.0,57.0,33.1,0.04,999.9,000000,AL,01,Alabama
72228013876,2016-02-05,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",39.4,19.7,1030.1,6.8,10.0,7.3,11.1,17.1,51.1,26.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-06,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",39.6,21.5,1028.5,5.0,10.0,2.3,8.9,999.9,51.1,30.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-07,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",40.4,23.8,1023.4,0.0,10.0,2.5,9.9,14.0,57.0,27.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-08,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",45.1,25.0,1013.7,990.7,10.0,8.2,17.1,27.0,52.0,39.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-09,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",36.7,18.3,1014.1,991.1,10.0,11.5,18.1,25.1,43.0,33.1,0.0,999.9,001000,AL,01,Alabama
72228013876,2016-02-10,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",30.9,12.3,1022.3,999.0,10.0,8.1,15.0,21.0,42.1,23.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-11,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",41.2,21.7,1021.7,998.5,10.0,2.7,7.0,999.9,60.1,28.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-12,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",48.9,28.1,1021.2,998.3,10.0,6.3,15.9,22.9,64.0,39.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-13,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",38.5,17.0,1029.1,6.0,10.0,10.2,15.9,22.9,55.9,28.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-14,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",37.4,9.8,1026.2,2.7,10.0,5.8,9.9,14.0,57.0,28.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-15,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",51.3,37.3,1017.7,991.6,7.5,9.3,17.1,28.9,57.0,45.0,0.07,999.9,010000,AL,01,Alabama
72228013876,2016-02-16,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",50.9,43.2,1010.4,987.8,9.8,7.7,17.1,28.0,61.0,41.0,1.13,999.9,010000,AL,01,Alabama
72228013876,2016-02-17,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",47.0,37.4,1020.8,998.0,10.0,7.2,13.0,999.9,55.9,41.0,0.01,999.9,000000,AL,01,Alabama
72228013876,2016-02-18,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",47.9,30.7,1029.0,5.9,10.0,4.0,8.9,999.9,64.9,36.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-19,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",57.5,34.2,1026.9,4.0,10.0,8.2,19.0,24.1,71.1,46.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-20,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.8,52.4,1023.2,0.6,9.9,9.1,14.0,999.9,66.9,57.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-21,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",63.2,57.2,1019.4,996.7,10.0,7.3,13.0,17.1,70.0,57.0,0.02,999.9,000000,AL,01,Alabama
72228013876,2016-02-22,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.8,59.6,1015.0,992.3,7.1,3.3,9.9,999.9,68.0,60.1,0.14,999.9,010010,AL,01,Alabama
72228013876,2016-02-23,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.9,59.5,1009.1,986.7,6.5,4.5,17.1,27.0,66.0,57.9,1.16,999.9,010000,AL,01,Alabama
72228013876,2016-02-24,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",53.0,49.1,1001.4,978.5,7.6,15.6,26.0,35.0,66.0,42.1,1.85,999.9,010010,AL,01,Alabama
72228013876,2016-02-25,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",44.5,32.7,1017.9,994.7,10.0,11.5,17.1,22.9,53.1,37.9,0.03,999.9,000000,AL,01,Alabama
72228013876,2016-02-26,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",43.7,25.1,1026.0,2.9,10.0,8.5,14.0,20.0,54.0,33.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-27,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",44.7,28.4,1025.7,2.5,10.0,2.0,6.0,999.9,61.0,30.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-28,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",51.0,32.4,1022.4,999.4,10.0,4.8,13.0,22.0,70.0,36.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-02-29,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.8,43.8,1019.1,996.6,10.0,8.2,14.0,18.1,73.0,52.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-01,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.6,52.6,1017.2,993.9,9.2,8.6,20.0,28.0,71.1,52.0,0.0,999.9,010010,AL,01,Alabama
72228013876,2016-03-02,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",46.9,36.7,1020.7,997.6,9.7,8.5,21.0,32.1,59.0,36.0,0.67,999.9,010010,AL,01,Alabama
72228013876,2016-03-03,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",43.6,33.3,1018.3,994.9,7.4,5.7,12.0,28.0,50.0,39.0,0.0,999.9,011110,AL,01,Alabama
72228013876,2016-03-04,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",46.9,41.4,1019.4,996.4,9.7,5.8,9.9,999.9,55.0,44.1,1.19,999.9,010000,AL,01,Alabama
72228013876,2016-03-05,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",47.7,36.9,1022.2,999.2,10.0,2.4,9.9,999.9,64.9,34.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-06,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",53.6,36.3,1023.9,1.0,10.0,1.9,7.0,999.9,70.0,36.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-07,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",58.8,37.8,1023.1,0.4,10.0,6.0,14.0,21.0,73.9,45.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-08,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",64.4,46.7,1022.1,999.5,10.0,6.3,12.0,19.0,75.0,55.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-09,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",68.7,52.2,1019.0,996.6,10.0,9.4,15.0,25.1,79.0,62.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-10,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",71.3,57.5,1018.0,995.7,10.0,10.9,15.0,31.1,79.0,64.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-11,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",67.3,62.3,1021.3,998.9,9.1,4.9,11.1,29.9,78.1,63.0,0.65,999.9,010000,AL,01,Alabama
72228013876,2016-03-12,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",67.8,63.1,1018.6,996.2,9.7,3.9,11.1,15.9,73.0,63.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-03-13,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",65.9,60.0,1012.1,989.8,7.3,6.5,14.0,19.0,73.9,61.0,0.61,999.9,010000,AL,01,Alabama
72228013876,2016-03-14,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",68.0,56.0,1009.7,987.6,10.0,10.1,15.9,22.9,78.1,61.0,0.02,999.9,000000,AL,01,Alabama
72228013876,2016-03-15,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",68.9,51.1,1010.7,988.5,10.0,5.9,17.1,24.1,88.0,53.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-16,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",71.9,46.7,1013.4,991.4,9.4,7.8,14.0,21.0,81.0,64.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-17,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.7,37.5,1015.5,993.1,10.0,2.9,11.1,26.0,77.0,48.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-18,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.8,44.6,1014.2,991.9,10.0,3.1,12.0,999.9,73.0,52.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-03-19,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.3,52.5,1012.9,990.7,9.5,7.0,13.0,999.9,64.0,57.2,0.03,999.9,010000,AL,01,Alabama
72228013876,2016-03-20,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",46.7,30.6,1019.1,996.3,10.0,11.1,20.0,28.9,57.9,37.9,0.02,999.9,000000,AL,01,Alabama
72228013876,2016-03-21,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",44.1,27.9,1026.1,3.0,10.0,6.2,11.1,15.0,59.0,33.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-22,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",51.3,31.1,1025.1,2.1,9.8,5.4,18.1,21.0,69.1,36.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-23,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.4,44.7,1020.9,998.3,10.0,10.1,18.1,24.1,73.9,54.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-24,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",63.8,55.8,1013.9,991.1,9.5,9.2,14.0,22.9,70.0,60.1,0.0,999.9,010010,AL,01,Alabama
72228013876,2016-03-25,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",58.2,48.8,1013.1,990.6,9.5,6.9,21.0,24.1,68.0,46.0,1.58,999.9,010000,AL,01,Alabama
72228013876,2016-03-26,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",58.7,50.8,1016.8,994.4,10.0,3.8,8.0,999.9,72.0,46.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-27,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",65.4,60.9,1018.0,995.4,9.3,5.1,12.0,20.0,71.1,62.1,0.04,999.9,010000,AL,01,Alabama
72228013876,2016-03-28,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.1,51.4,1018.0,995.4,10.0,6.7,11.1,999.9,69.1,54.0,0.03,999.9,000000,AL,01,Alabama
72228013876,2016-03-29,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",58.1,37.0,1020.6,997.9,10.0,3.5,9.9,999.9,73.9,43.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-30,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",64.0,41.8,1019.3,996.8,10.0,6.2,13.0,20.0,78.1,53.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-03-31,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",67.6,55.1,1011.2,988.7,9.8,11.1,18.1,27.0,73.9,61.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-04-01,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",66.4,61.3,1009.7,987.0,9.1,6.8,21.0,29.9,71.1,62.1,1.18,999.9,010010,AL,01,Alabama
72228013876,2016-04-02,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",57.4,39.8,1013.9,991.6,10.0,9.1,15.0,21.0,64.9,46.9,0.28,999.9,000000,AL,01,Alabama
72228013876,2016-04-03,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",57.1,31.9,1020.5,997.9,10.0,5.4,14.0,999.9,71.1,43.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-04,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.6,39.2,1020.2,997.5,10.0,4.1,13.0,15.9,79.0,44.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-05,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",61.8,36.0,1022.9,0.4,10.0,6.7,13.0,19.0,75.0,48.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-06,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.0,40.8,1019.6,996.5,10.0,9.0,19.0,28.0,73.9,51.1,0.0,999.9,010010,AL,01,Alabama
72228013876,2016-04-07,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.4,47.0,1012.0,989.4,9.0,7.5,25.1,34.0,75.9,46.9,0.37,999.9,010010,AL,01,Alabama
72228013876,2016-04-08,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",59.0,36.3,1014.8,992.4,10.0,9.8,18.1,24.1,71.1,46.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-09,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",53.7,29.0,1020.7,997.9,10.0,6.0,12.0,19.0,64.9,39.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-10,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",58.1,27.2,1023.1,0.4,10.0,7.1,15.0,24.1,73.9,46.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-11,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.6,44.5,1021.1,998.4,9.2,6.1,9.9,19.0,69.1,51.1,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-04-12,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",60.1,56.4,1020.3,997.3,8.4,6.9,15.0,20.0,64.9,55.4,1.83,999.9,010000,AL,01,Alabama
72228013876,2016-04-13,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",57.6,50.4,1020.7,997.9,10.0,3.1,8.0,999.9,66.9,46.0,0.01,999.9,000000,AL,01,Alabama
72228013876,2016-04-14,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.8,57.1,1018.4,996.2,9.4,6.7,12.0,19.0,69.1,59.0,0.11,999.9,010000,AL,01,Alabama
72228013876,2016-04-15,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.1,47.6,1019.3,996.9,10.0,7.4,13.0,22.0,68.0,57.0,0.01,999.9,010000,AL,01,Alabama
72228013876,2016-04-16,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",63.0,52.0,1022.7,0.1,10.0,9.2,14.0,24.1,73.9,55.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-17,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",66.2,42.7,1026.2,3.6,10.0,6.4,9.9,17.1,78.1,55.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-18,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",64.7,42.6,1026.2,3.6,10.0,2.6,7.0,999.9,80.1,48.9,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-19,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",65.6,45.3,1023.0,0.4,10.0,1.4,8.0,999.9,82.0,50.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-20,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",70.9,50.3,1018.8,996.5,10.0,4.2,11.1,999.9,82.0,60.1,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-21,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",68.5,54.4,1016.9,994.6,9.7,5.6,14.0,20.0,77.0,57.0,0.0,999.9,010000,AL,01,Alabama
72228013876,2016-04-22,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",67.1,60.3,1015.0,992.5,9.7,4.3,11.1,18.1,77.0,62.1,0.15,999.9,010010,AL,01,Alabama
72228013876,2016-04-23,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",65.8,52.2,1016.0,993.7,10.0,5.5,17.1,20.0,79.0,51.1,0.13,999.9,000000,AL,01,Alabama
72228013876,2016-04-24,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",66.8,51.8,1016.5,994.2,10.0,2.1,8.0,999.9,82.0,52.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-25,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",72.5,54.1,1015.3,993.1,10.0,5.6,15.0,19.0,82.0,61.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-26,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",72.5,58.3,1013.4,991.3,10.0,4.3,11.1,17.1,84.0,61.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-27,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",74.0,62.3,1010.6,988.6,10.0,6.5,14.0,18.1,81.0,66.0,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-28,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",73.8,62.0,1012.1,990.4,9.8,3.9,9.9,999.9,84.0,66.2,0.0,999.9,000000,AL,01,Alabama
72228013876,2016-04-29,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",73.5,60.3,1015.0,992.9,9.5,4.3,22.0,41.0,86.0,62.1,0.0,999.9,010010,AL,01,Alabama
72228013876,2016-04-30,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",71.5,62.4,1012.8,991.2,9.7,6.0,21.0,26.0,84.0,63.0,0.88,999.9,010000,AL,01,Alabama
72228013876,2016-05-01,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",71.5,66.4,1014.4,992.7,9.7,5.3,21.0,27.0,78.1,66.0,0.0,999.9,010010,AL,01,Alabama
72228013876,2016-05-02,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",69.2,65.1,1015.6,993.2,8.9,3.7,12.0,999.9,80.1,63.0,0.22,999.9,010010,AL,01,Alabama
72228013876,2016-05-03,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",67.8,61.0,1013.4,991.2,9.5,6.6,11.1,999.9,73.9,62.1,0.6,999.9,000000,AL,01,Alabama
72228013876,2016-05-04,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",62.7,49.1,1011.3,988.9,10.0,6.7,13.0,20.0,73.0,52.0,0.01,999.9,000000,AL,01,Alabama
72228013876,2016-05-05,33.56545,-86.7449,187.7,"BIRMINGHAM AIRPORT, AL US",59.4,46.3,1010.9,988.5,9.7,7.8,17.1,36.9,71.1,48.0,0.07,999.9,010000,AL,01,Alabama
